epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,218.593,0.73304,0.18319,0.069,0.53418,0.92834,0.82078,0.80008,0.83351,0.62577,0.09062,0.0744,0.08136,0.07633,0.98346,0.39481,0.06065,0.86816,1.05897,0.000388844,0.000388844,0.000388844
48,222.794,0.72704,0.12785,0.04946,0.55784,0.93871,0.84375,0.75256,0.83017,0.62527,0.08611,0.07442,0.07883,0.0732,1.00819,0.39607,0.07398,0.93026,1.06657,0.000381776,0.000381776,0.000381776
49,227.154,0.75295,0.14913,0.06528,0.54879,0.93797,0.83433,0.75098,0.82637,0.61995,0.09175,0.07114,0.07672,0.07315,1.01239,0.39331,0.07851,0.95471,1.0711,0.000374707,0.000374707,0.000374707
50,231.417,0.752,0.14344,0.06481,0.54499,0.95862,0.84677,0.75226,0.82464,0.63788,0.08911,0.07526,0.08219,0.0785,0.93425,0.39728,0.0798,0.82066,1.04918,0.000367639,0.000367639,0.000367639
51,235.623,0.77465,0.18241,0.06095,0.5349,0.93389,0.81231,0.79587,0.82157,0.60851,0.08805,0.0736,0.08063,0.07596,1.01338,0.43973,0.08519,0.87576,1.0736,0.00036057,0.00036057,0.00036057
52,240.039,0.73291,0.15359,0.05434,0.52048,0.92782,0.81003,0.80456,0.8222,0.62621,0.0884,0.078,0.08432,0.07891,0.99876,0.42086,0.07901,0.82715,1.0433,0.000353501,0.000353501,0.000353501
53,244.404,0.75658,0.15584,0.05146,0.54629,0.90998,0.85697,0.80211,0.83393,0.63367,0.08803,0.0768,0.08408,0.07942,0.99563,0.38855,0.07506,0.79635,1.0437,0.000346433,0.000346433,0.000346433
54,248.629,0.72766,0.16253,0.06138,0.53762,0.93392,0.85606,0.79681,0.85501,0.64983,0.08855,0.07424,0.08417,0.07978,0.96723,0.3861,0.07125,0.76422,1.04436,0.000339364,0.000339364,0.000339364
55,252.933,0.7125,0.10851,0.05074,0.51164,0.92335,0.88821,0.77,0.8612,0.66915,0.08649,0.07938,0.08394,0.07916,0.95423,0.3829,0.06763,0.76446,1.03328,0.000332296,0.000332296,0.000332296
56,257.292,0.71089,0.11535,0.04353,0.52053,0.9237,0.83887,0.80428,0.85402,0.65276,0.08888,0.0772,0.08409,0.07897,1.03667,0.39098,0.06447,0.80009,1.05103,0.000325227,0.000325227,0.000325227
57,261.474,0.70507,0.14235,0.04868,0.49204,0.92874,0.84222,0.81719,0.85669,0.66699,0.0837,0.08008,0.08245,0.07851,0.92407,0.42531,0.06696,0.76677,1.02088,0.000318158,0.000318158,0.000318158
58,265.653,0.71612,0.10619,0.05397,0.48857,0.91457,0.86009,0.79777,0.8463,0.65126,0.08887,0.0768,0.08191,0.07789,0.96156,0.42297,0.06458,0.78219,1.03347,0.00031109,0.00031109,0.00031109
59,269.985,0.70523,0.13263,0.04141,0.49233,0.91069,0.85781,0.7872,0.84714,0.61656,0.08866,0.0768,0.08286,0.07858,1.12726,0.41775,0.06233,0.83421,1.07738,0.000304021,0.000304021,0.000304021
60,274.197,0.76166,0.13469,0.04199,0.51677,0.94479,0.8428,0.79854,0.85317,0.63515,0.09092,0.0764,0.08415,0.07955,0.97347,0.42494,0.06352,0.7892,1.04615,0.000296953,0.000296953,0.000296953
61,278.497,0.68848,0.12535,0.05254,0.49009,0.91965,0.86624,0.7988,0.85162,0.65095,0.08883,0.07949,0.0838,0.07944,0.91924,0.39684,0.06026,0.76314,1.03516,0.000289884,0.000289884,0.000289884
62,282.754,0.6653,0.119,0.05334,0.47611,0.91911,0.88934,0.80667,0.85725,0.64566,0.09082,0.0772,0.08381,0.07954,0.99433,0.38194,0.05711,0.78943,1.05296,0.000282815,0.000282815,0.000282815
63,286.92,0.67213,0.10101,0.04579,0.46624,0.912,0.84919,0.81056,0.85829,0.6636,0.08895,0.0796,0.08442,0.08064,0.9412,0.38128,0.06538,0.7769,1.03662,0.000275747,0.000275747,0.000275747
64,291.116,0.64468,0.12195,0.04431,0.46134,0.92144,0.83983,0.82472,0.86047,0.66557,0.09187,0.0792,0.08526,0.08084,0.91041,0.36815,0.07038,0.76048,1.03194,0.000268678,0.000268678,0.000268678
65,295.346,0.67356,0.13172,0.04439,0.4951,0.90093,0.81291,0.82751,0.85903,0.64781,0.09403,0.076,0.08461,0.07975,1.01804,0.35686,0.07335,0.79897,1.05434,0.00026161,0.00026161,0.00026161
66,299.59,0.65999,0.11567,0.04468,0.47204,0.90621,0.86197,0.78211,0.84607,0.64322,0.09277,0.07699,0.08479,0.08046,0.99136,0.36253,0.07345,0.78966,1.04702,0.000254541,0.000254541,0.000254541
67,304.051,0.65344,0.10794,0.04214,0.47235,0.90157,0.87927,0.81114,0.84888,0.64126,0.09209,0.0776,0.08562,0.08109,1.01475,0.35167,0.07282,0.78416,1.04813,0.000247472,0.000247472,0.000247472
68,308.389,0.67457,0.11734,0.0495,0.48123,0.91439,0.88106,0.78414,0.84743,0.66638,0.09119,0.0792,0.08571,0.08155,0.92508,0.3717,0.06993,0.7613,1.02329,0.000240404,0.000240404,0.000240404
69,312.716,0.66324,0.09932,0.04581,0.46399,0.9075,0.88233,0.78271,0.8571,0.66602,0.09242,0.07801,0.08568,0.0816,0.92027,0.36103,0.06374,0.77926,1.0258,0.000233335,0.000233335,0.000233335
70,316.893,0.66377,0.12791,0.04992,0.45856,0.89893,0.86849,0.79298,0.85348,0.6477,0.09327,0.07762,0.08525,0.08125,0.9451,0.34445,0.0583,0.80346,1.03158,0.000226267,0.000226267,0.000226267
71,321.067,0.67322,0.13126,0.0481,0.49431,0.93531,0.88716,0.76538,0.84391,0.65542,0.09557,0.07773,0.08545,0.08171,0.91779,0.34215,0.05523,0.79209,1.02644,0.000219198,0.000219198,0.000219198
72,325.304,0.65726,0.11656,0.04204,0.46317,0.90718,0.8286,0.7949,0.8411,0.65023,0.09274,0.07668,0.08454,0.08108,0.91828,0.34153,0.0603,0.79031,1.02747,0.000212129,0.000212129,0.000212129
